,unique_identifier,song_id,song_name,duration_ms,song_url,popularity,date_time_played,album_id,artist_id
0,0KtzMx1GbkkPyA2TQceHoM-1669049295,0KtzMx1GbkkPyA2TQceHoM,Just A Memory (feat. Regina Spektor),236794,https://open.spotify.com/track/0KtzMx1GbkkPyA2TQceHoM,44,2022-11-21 16:48:15.919,3VzsvmhnUb9OZ59bq2aoNZ,21mKp7DqtSNHhCAU2ugvUw
1,4XeIiGpUBshIfs9yrBDVZC-1669049262,4XeIiGpUBshIfs9yrBDVZC,The Last Goodbye (feat. Bettye LaVette),358983,https://open.spotify.com/track/4XeIiGpUBshIfs9yrBDVZC,70,2022-11-21 16:47:42.044,4vpnU0Hu4c0KNq2p4nz4U2,21mKp7DqtSNHhCAU2ugvUw
2,1P2ZlB5qgJFirSoYqDlkkb-1669048908,1P2ZlB5qgJFirSoYqDlkkb,King - Anevo Remix,208429,https://open.spotify.com/track/1P2ZlB5qgJFirSoYqDlkkb,35,2022-11-21 16:41:48.209,6zbeY9TEJdTGnURPa6BQPu,5vBSrE1xujD2FXYRarbAXc
3,1Bzt8ya4lki8tDYrMZxb5E-1669048703,1Bzt8ya4lki8tDYrMZxb5E,For Us (feat. Briana Marela),349090,https://open.spotify.com/track/1Bzt8ya4lki8tDYrMZxb5E,40,2022-11-21 16:38:23.998,5SXT6dwhHX56Sos7KMcMF5,21mKp7DqtSNHhCAU2ugvUw
4,2eomAcNgNQTogi2Y4apBKh-1669048360,2eomAcNgNQTogi2Y4apBKh,Follow (with Jeremih) [Dillon Francis Remix],186240,https://open.spotify.com/track/2eomAcNgNQTogi2Y4apBKh,47,2022-11-21 16:32:40.349,6ORDApaeeYyezXhpGXc2HV,3FLUBwpAnaIlIKeaBfsxFe
5,7xPAslx8T8DODx3LT6Zfni-1669048178,7xPAslx8T8DODx3LT6Zfni,Hey Now,148085,https://open.spotify.com/track/7xPAslx8T8DODx3LT6Zfni,38,2022-11-21 16:29:38.975,0ebTxbNe07spVPn7uxKOb1,21mKp7DqtSNHhCAU2ugvUw
6,5Sw2EtNVnhiR4nVAD5tsNw-1668953053,5Sw2EtNVnhiR4nVAD5tsNw,Wet Tennis,154613,https://open.spotify.com/track/5Sw2EtNVnhiR4nVAD5tsNw,49,2022-11-20 14:04:13.954,1u54eF07irCSSssyDG67R2,586uxXMyD5ObPuzjtrzO1Q
7,2GQEM9JuHu30sGFvRYeCxz-1668952938,2GQEM9JuHu30sGFvRYeCxz,Faded,223480,https://open.spotify.com/track/2GQEM9JuHu30sGFvRYeCxz,60,2022-11-20 14:02:18.107,59irM3hSsX9Kpj31rJnsHc,28j8lBWDdDSHSSt5oPlsX2
8,66MGk6BwVMx5O1TJqDAX4Y-1668952720,66MGk6BwVMx5O1TJqDAX4Y,Dreams,268043,https://open.spotify.com/track/66MGk6BwVMx5O1TJqDAX4Y,49,2022-11-20 13:58:40.100,3niMyy1EHzOhBwv9awRg5E,28j8lBWDdDSHSSt5oPlsX2
9,1s6TysiWme3GWeJew7nFft-1668951702,1s6TysiWme3GWeJew7nFft,Keda,178442,https://open.spotify.com/track/1s6TysiWme3GWeJew7nFft,42,2022-11-20 13:41:42.010,0yZTs6sTGAnSY20P1BYk6E,2Wk167T0fY1fABsHM5qFcI
10,2QK9spxKFUWe7zeirPHf5O-1668951528,2QK9spxKFUWe7zeirPHf5O,حبه جنة,302027,https://open.spotify.com/track/2QK9spxKFUWe7zeirPHf5O,53,2022-11-20 13:38:48.893,1aCq7XjXXVc3WxPYYUrbeP,2Wk167T0fY1fABsHM5qFcI
11,2HJQcyUpmUuvzS5vBAICIc-1668951232,2HJQcyUpmUuvzS5vBAICIc,Working For It,231813,https://open.spotify.com/track/2HJQcyUpmUuvzS5vBAICIc,59,2022-11-20 13:33:52.128,6Xhb46t8f3z8FkuXQAj4UV,28j8lBWDdDSHSSt5oPlsX2
12,5mnidOH84oGj82xBcypP2j-1668951005,5mnidOH84oGj82xBcypP2j,Sweet Dreams (feat. Imanbek) - With Alok,140500,https://open.spotify.com/track/5mnidOH84oGj82xBcypP2j,59,2022-11-20 13:30:05.124,5LKrGd8oU56PLe793imghr,7vk5e3vY1uw9plTHJAMwjN
13,6OvHZA4I4Nl1F0Brs8nPkR-1668950870,6OvHZA4I4Nl1F0Brs8nPkR,الكدابين,248659,https://open.spotify.com/track/6OvHZA4I4Nl1F0Brs8nPkR,50,2022-11-20 13:27:50.042,1aCq7XjXXVc3WxPYYUrbeP,2Wk167T0fY1fABsHM5qFcI
14,4aDdbK6olzhG4mCf6L96bT-1668950625,4aDdbK6olzhG4mCf6L96bT,Brighter,281084,https://open.spotify.com/track/4aDdbK6olzhG4mCf6L96bT,53,2022-11-20 13:23:45.868,1SR9xhoYg57S95GDFpyQGT,5Pb27ujIyYb33zBqVysBkj
15,01wpPOPqQ3XyS6hBN00HfK-1668950316,01wpPOPqQ3XyS6hBN00HfK,In the Morning,246495,https://open.spotify.com/track/01wpPOPqQ3XyS6hBN00HfK,58,2022-11-20 13:18:36.291,6Xhb46t8f3z8FkuXQAj4UV,28j8lBWDdDSHSSt5oPlsX2
16,0cBPhFzSCEH9Bdc8N5xqKW-1668949444,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-20 13:04:04.265,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
17,4zN21mbAuaD0WqtmaTZZeP-1668949216,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,87,2022-11-20 13:00:16.959,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
18,4zN21mbAuaD0WqtmaTZZeP-1668949006,4zN21mbAuaD0WqtmaTZZeP,Ferrari,186661,https://open.spotify.com/track/4zN21mbAuaD0WqtmaTZZeP,87,2022-11-20 12:56:46.367,6moZ4sNThthUAwCklyuPY8,43BxCL6t4c73BQnIJtry5v
19,4UzRLcz7EtviJyoTBBof2X-1668902290,4UzRLcz7EtviJyoTBBof2X,Bardo,228764,https://open.spotify.com/track/4UzRLcz7EtviJyoTBBof2X,30,2022-11-19 23:58:10.634,49UGOt9jizVXfLEuQApZfn,42MgQRvz2CdYiI9u46YJNn
20,0cBPhFzSCEH9Bdc8N5xqKW-1668901997,0cBPhFzSCEH9Bdc8N5xqKW,Die A Little Bit (Remix),223036,https://open.spotify.com/track/0cBPhFzSCEH9Bdc8N5xqKW,43,2022-11-19 23:53:17.851,5xEl7MGvAzl2FxwVlngE1M,0NIIxcxNHmOoyBx03SfTCD
